epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,25804.3,1.31845,1.69634,1.33632,0.5848,0.38047,0.42185,0.2918,1.22443,1.52933,1.25876,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,26062.4,1.32022,1.69039,1.33803,0.58651,0.37952,0.42179,0.2917,1.22496,1.53088,1.25872,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,26319.7,1.3168,1.68977,1.33558,0.58579,0.37941,0.42124,0.29104,1.22503,1.53299,1.25879,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,26578,1.3216,1.68956,1.33789,0.58575,0.37845,0.42067,0.29078,1.22551,1.53449,1.25874,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,26875.3,1.32161,1.68861,1.33537,0.58963,0.37772,0.42046,0.29069,1.22585,1.53552,1.25898,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,27147.1,1.31982,1.69791,1.33666,0.5887,0.378,0.42065,0.29058,1.22599,1.53583,1.25888,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,27402.1,1.31072,1.68225,1.33257,0.5861,0.37794,0.42064,0.2909,1.22594,1.53614,1.25864,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,27661.6,1.31575,1.68294,1.33506,0.58393,0.37892,0.4207,0.29099,1.22574,1.53516,1.25797,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,27919.6,1.32037,1.69074,1.33568,0.58282,0.37872,0.42036,0.2908,1.2255,1.5357,1.25778,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,28175.9,1.32162,1.68548,1.33687,0.58492,0.37631,0.4191,0.29031,1.22815,1.54104,1.25953,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
