epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
107,18370.4,1.28384,1.63973,1.31041,0.59954,0.4019,0.44295,0.30841,1.18659,1.4519,1.22566,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012,0.0237036,0.0079012
108,18542.3,1.2932,1.63756,1.31227,0.6002,0.40185,0.44332,0.30878,1.18619,1.44963,1.22518,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814,0.0236442,0.0078814
109,18714.1,1.29201,1.64472,1.31424,0.60266,0.40219,0.44398,0.30943,1.18534,1.44668,1.22442,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616,0.0235848,0.0078616
110,18885,1.28325,1.6281,1.30784,0.60439,0.40224,0.4447,0.30996,1.1848,1.44353,1.22387,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418,0.0235254,0.0078418
111,19058.7,1.28214,1.63237,1.30412,0.60329,0.40418,0.44555,0.31054,1.18406,1.44057,1.22318,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
112,19231.7,1.28221,1.62255,1.31028,0.60073,0.40473,0.44611,0.31091,1.18342,1.43781,1.22265,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022,0.0234066,0.0078022
113,19403.6,1.28505,1.63381,1.30792,0.60186,0.40559,0.44676,0.31131,1.1829,1.4354,1.22204,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824,0.0233472,0.0077824
114,19574.2,1.28322,1.64031,1.30891,0.6032,0.40562,0.44814,0.31221,1.18224,1.43298,1.22131,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626,0.0232878,0.0077626
115,19746.4,1.28506,1.6382,1.3092,0.60432,0.40602,0.44916,0.31283,1.18177,1.42995,1.2208,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428,0.0232284,0.0077428
116,19919.9,1.27912,1.6208,1.30581,0.604,0.407,0.44961,0.3134,1.18145,1.42732,1.22038,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
117,20092.8,1.27911,1.62073,1.30531,0.60551,0.40722,0.4502,0.31397,1.18093,1.42467,1.21961,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032,0.0231096,0.0077032
118,20265.4,1.27963,1.62448,1.30589,0.60503,0.40785,0.45106,0.31469,1.18036,1.42174,1.219,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834,0.0230502,0.0076834
119,20437.7,1.28612,1.62997,1.30606,0.60896,0.40726,0.45164,0.31514,1.17997,1.41881,1.21836,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636,0.0229908,0.0076636
120,20609,1.28099,1.61827,1.3046,0.60928,0.40758,0.45137,0.31527,1.17933,1.41561,1.21755,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438,0.0229314,0.0076438
121,20782.2,1.27915,1.62004,1.30503,0.60919,0.40794,0.45166,0.31555,1.17874,1.41287,1.21702,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
