epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,54335.2,1.14554,1.31502,1.25824,0.66881,0.53545,0.5853,0.42589,1.02667,1.05431,1.16626,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
56,55323.5,1.1414,1.31438,1.25956,0.66724,0.53488,0.58504,0.42592,1.02631,1.05662,1.16635,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
57,56334.4,1.13833,1.30534,1.2582,0.66813,0.53424,0.58487,0.42564,1.02607,1.0586,1.16636,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
58,57308.4,1.14183,1.31238,1.25887,0.67054,0.53328,0.58483,0.42538,1.02585,1.06046,1.16631,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714,0.0266142,0.0088714
59,58283.3,1.13655,1.30728,1.25629,0.67224,0.53184,0.58438,0.42511,1.02582,1.06321,1.16664,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
60,59258.4,1.14041,1.30404,1.25513,0.67046,0.53324,0.58437,0.42515,1.02596,1.06631,1.16687,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318,0.0264954,0.0088318
61,60275.6,1.13895,1.30022,1.25592,0.67127,0.53184,0.5844,0.42503,1.02592,1.06875,1.16702,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
62,61291.6,1.13585,1.29986,1.25516,0.66974,0.5312,0.584,0.42491,1.02602,1.07196,1.16715,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922,0.0263766,0.0087922
63,62299.4,1.13701,1.29498,1.25333,0.67128,0.5304,0.58383,0.4246,1.02595,1.0755,1.16728,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
64,63283.3,1.14049,1.30252,1.25314,0.67216,0.52899,0.58344,0.42451,1.02571,1.07868,1.16733,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526,0.0262578,0.0087526
65,64292.8,1.13152,1.28648,1.25099,0.6743,0.5269,0.58299,0.42416,1.0257,1.08212,1.16754,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
66,65308.3,1.13423,1.28719,1.25012,0.67387,0.52686,0.58297,0.42394,1.0258,1.0865,1.16784,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
67,66393.8,1.13218,1.2903,1.24943,0.67616,0.52473,0.58275,0.42411,1.02634,1.09,1.16827,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
68,67482.4,1.13501,1.29364,1.25233,0.6734,0.52582,0.58253,0.42417,1.02629,1.09329,1.16839,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734,0.0260202,0.0086734
69,68498.3,1.13171,1.29118,1.25053,0.6748,0.52487,0.5822,0.42395,1.02628,1.09685,1.16869,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
70,69512.9,1.12995,1.28973,1.25006,0.67566,0.52533,0.58187,0.42371,1.02623,1.10033,1.16886,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338,0.0259014,0.0086338
71,70484.8,1.13066,1.2849,1.2492,0.67545,0.52544,0.58194,0.42394,1.02659,1.10364,1.16934,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
72,71455.6,1.13098,1.28607,1.24874,0.67843,0.52389,0.582,0.42389,1.0265,1.10652,1.1694,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942,0.0257826,0.0085942
