epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
79,21523,1.07941,1.21075,1.22455,0.69339,0.5334,0.5991,0.44069,0.99869,1.09484,1.16265,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
80,21794.2,1.07895,1.20444,1.22426,0.69832,0.53287,0.59973,0.44091,0.99853,1.09625,1.16252,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358,0.0253074,0.0084358
81,22066.2,1.07618,1.20631,1.22314,0.69928,0.5325,0.60015,0.44098,0.99848,1.09755,1.16231,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
82,22342.1,1.07936,1.21356,1.22687,0.69959,0.53333,0.60034,0.44108,0.99815,1.09864,1.16205,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962,0.0251886,0.0083962
83,22617.2,1.07858,1.20699,1.22363,0.69958,0.53412,0.60042,0.44121,0.99778,1.09948,1.16187,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
84,22888.2,1.07809,1.20291,1.22335,0.69661,0.53463,0.60033,0.44116,0.99745,1.10028,1.16173,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566,0.0250698,0.0083566
85,23307,1.07646,1.20692,1.22236,0.69798,0.53457,0.60069,0.44135,0.99712,1.10082,1.16141,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
86,23579.3,1.08156,1.20266,1.22389,0.69665,0.53429,0.60084,0.44156,0.99698,1.10118,1.16118,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
87,23851.7,1.07474,1.20039,1.21972,0.69632,0.53496,0.60101,0.44174,0.9966,1.10179,1.1609,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
88,24122.8,1.07787,1.20681,1.22179,0.69595,0.5354,0.60165,0.44215,0.99652,1.102,1.16076,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774,0.0248322,0.0082774
89,24396,1.07316,1.19964,1.22028,0.6955,0.53633,0.60205,0.44243,0.99606,1.10277,1.16034,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
90,24666.4,1.07669,1.19907,1.21895,0.69443,0.53599,0.60224,0.4427,0.99554,1.10267,1.15995,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378,0.0247134,0.0082378
91,24937.9,1.07573,1.20449,1.21938,0.69529,0.53626,0.60277,0.44311,0.99522,1.10231,1.15947,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
92,25209.4,1.07428,1.19991,1.21965,0.69486,0.53733,0.60303,0.44319,0.99484,1.10218,1.15918,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982,0.0245946,0.0081982
93,25481.5,1.07791,1.1938,1.21845,0.69352,0.53816,0.60322,0.44372,0.9946,1.1019,1.15884,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
94,25753.2,1.07458,1.19523,1.21895,0.69543,0.53849,0.60342,0.44426,0.99443,1.10167,1.15864,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586,0.0244758,0.0081586
95,26024.8,1.0737,1.18995,1.21574,0.69498,0.53872,0.6041,0.44465,0.99431,1.10123,1.15838,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388,0.0244164,0.0081388
